model,dataset,filenames,domain,predicted_class,true_class
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/103.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1031.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1032.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1035.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1036.wav,synthetic,Speech,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1037.wav,synthetic,Frying,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1038.wav,synthetic,Dog,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1039.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1040.wav,synthetic,Speech,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1041.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1042.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1047.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1049.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/105.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1050.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1051.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1052.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1053.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1057.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1059.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1061.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1062.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1063.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1064.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1065.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1066.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1067.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1068.wav,synthetic,Running_water,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1069.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/107.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1071.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1072.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1073.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1074.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1077.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1078.wav,synthetic,Running_water,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/108.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1084.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1085.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1086.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1087.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1088.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1089.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1090.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1091.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1093.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1095.wav,synthetic,Speech,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1096.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1098.wav,synthetic,Running_water,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1100.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1101.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1102.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1103.wav,synthetic,Speech,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1104.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1105.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1106.wav,synthetic,Electric_shaver_toothbrush,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1107.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1108.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1110.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1111.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1112.wav,synthetic,Frying,Frying
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1113.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1115.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1122.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1124.wav,synthetic,Speech,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1125.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1127.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1128.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1129.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1130.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1132.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1133.wav,synthetic,Electric_shaver_toothbrush,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1134.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1135.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1137.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1139.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1140.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1142.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1146.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1148.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/115.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1150.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1152.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1153.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1154.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1155.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1157.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1158.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1159.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/116.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1160.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1163.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1164.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1165.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1168.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1169.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1173.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1174.wav,synthetic,Dishes,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1175.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1177.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1178.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1179.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/118.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1182.wav,synthetic,Running_water,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1183.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1185.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1186.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1187.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1190.wav,synthetic,Frying,Frying
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1191.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1195.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1199.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/120.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1203.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1205.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1206.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1209.wav,synthetic,Running_water,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1210.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1211.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1213.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1216.wav,synthetic,Dishes,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1218.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1219.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/122.wav,synthetic,Speech,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1221.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1225.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1227.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1229.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/123.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1230.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1232.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1238.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/124.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1240.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1241.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1242.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1244.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1245.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1247.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1248.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/125.wav,synthetic,Blender,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1250.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1252.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1254.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1256.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1258.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1259.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/126.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1262.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1263.wav,synthetic,Vacuum_cleaner,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1264.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1265.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1267.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1271.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1274.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1277.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1278.wav,synthetic,Blender,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/128.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1283.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1286.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/129.wav,synthetic,Speech,Speech
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1293.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1295.wav,synthetic,Blender,Blender
